ZIP_Code,Chain_Name,POI_Name,POI_Chain_ID,Foot_Traffic_Sum
75214,Walmart Supercenter,Walmart Supercenter,1214,14575
75215,Walmart Supercenter,Walmart Marketplace,3215,15484
75215,Walmart Supercenter,Walmart Neighborhood Market,2215,14647
75215,Walmart Supercenter,Walmart Supercenter,1215,14544
75216,Walmart Supercenter,Walmart Marketplace,3216,15055
75216,Walmart Supercenter,Walmart Neighborhood Market,2216,14999
75216,Walmart Supercenter,Walmart Supercenter,1216,14522
75217,Walmart Supercenter,Walmart Marketplace,3217,14840
75217,Walmart Supercenter,Walmart Neighborhood Market,2217,15441
75217,Walmart Supercenter,Walmart Supercenter,1217,15505
75218,Walmart Supercenter,Walmart Marketplace,3218,15669
75218,Walmart Supercenter,Walmart Neighborhood Market,2218,15167
75218,Walmart Supercenter,Walmart Supercenter,1218,14678
75219,Walmart Supercenter,Walmart Marketplace,3219,15288
75219,Walmart Supercenter,Walmart Neighborhood Market,2219,14719
75219,Walmart Supercenter,Walmart Supercenter,1219,15690
75220,Walmart Supercenter,Walmart Marketplace,3220,15344
75220,Walmart Supercenter,Walmart Neighborhood Market,2220,15325
75220,Walmart Supercenter,Walmart Supercenter,1220,15641
75223,Walmart Supercenter,Walmart Marketplace,3223,15665
75223,Walmart Supercenter,Walmart Neighborhood Market,2223,15066
75223,Walmart Supercenter,Walmart Supercenter,1223,14844
75224,Walmart Supercenter,Walmart Marketplace,3224,14482
75224,Walmart Supercenter,Walmart Neighborhood Market,2224,14767
75224,Walmart Supercenter,Walmart Supercenter,1224,15956
75225,Walmart Supercenter,Walmart Marketplace,3225,15603
75225,Walmart Supercenter,Walmart Neighborhood Market,2225,14699
75225,Walmart Supercenter,Walmart Supercenter,1225,14839
75226,Walmart Supercenter,Walmart Marketplace,3226,15244
75226,Walmart Supercenter,Walmart Neighborhood Market,2226,15942
75226,Walmart Supercenter,Walmart Supercenter,1226,14915
75227,Walmart Supercenter,Walmart Marketplace,3227,15188
75227,Walmart Supercenter,Walmart Neighborhood Market,2227,14827
75227,Walmart Supercenter,Walmart Supercenter,1227,14955
75228,Walmart Supercenter,Walmart Marketplace,3228,15415
75228,Walmart Supercenter,Walmart Neighborhood Market,2228,15196
75228,Walmart Supercenter,Walmart Supercenter,1228,15788
75229,Walmart Supercenter,Walmart Marketplace,3229,14205
75229,Walmart Supercenter,Walmart Neighborhood Market,2229,14674
75229,Walmart Supercenter,Walmart Supercenter,1229,14722
75230,Walmart Supercenter,Walmart Marketplace,3230,15243
75230,Walmart Supercenter,Walmart Neighborhood Market,2230,15368
75230,Walmart Supercenter,Walmart Supercenter,1230,15417
75231,Walmart Supercenter,Walmart Marketplace,3231,15491
75231,Walmart Supercenter,Walmart Neighborhood Market,2231,14825
75231,Walmart Supercenter,Walmart Supercenter,1231,15729
75232,Walmart Supercenter,Walmart Marketplace,3232,15704
75232,Walmart Supercenter,Walmart Neighborhood Market,2232,15815
75232,Walmart Supercenter,Walmart Supercenter,1232,15565
75233,Walmart Supercenter,Walmart Marketplace,3233,15288
75233,Walmart Supercenter,Walmart Neighborhood Market,2233,15551
75233,Walmart Supercenter,Walmart Supercenter,1233,15990
75234,Walmart Supercenter,Walmart Marketplace,3234,14885
75234,Walmart Supercenter,Walmart Neighborhood Market,2234,14369
75234,Walmart Supercenter,Walmart Supercenter,1234,14178
75235,Walmart Supercenter,Walmart Marketplace,3235,14100
75235,Walmart Supercenter,Walmart Neighborhood Market,2235,15995
75235,Walmart Supercenter,Walmart Supercenter,1235,15176
75236,Walmart Supercenter,Walmart Marketplace,3236,14380
75236,Walmart Supercenter,Walmart Neighborhood Market,2236,15022
75236,Walmart Supercenter,Walmart Supercenter,1236,15283
75237,Walmart Supercenter,Walmart Marketplace,3237,14533
75237,Walmart Supercenter,Walmart Neighborhood Market,2237,15328
75237,Walmart Supercenter,Walmart Supercenter,1237,15453
75238,Walmart Supercenter,Walmart Marketplace,3238,14137
75238,Walmart Supercenter,Walmart Neighborhood Market,2238,14392
75238,Walmart Supercenter,Walmart Supercenter,1238,14509
75240,Walmart Supercenter,Walmart Marketplace,3240,14280
75240,Walmart Supercenter,Walmart Neighborhood Market,2240,14390
75240,Walmart Supercenter,Walmart Supercenter,1240,15006
75241,Walmart Supercenter,Walmart Marketplace,3241,15703
75241,Walmart Supercenter,Walmart Neighborhood Market,2241,15522
75241,Walmart Supercenter,Walmart Supercenter,1241,14651
75243,Walmart Supercenter,Walmart Marketplace,3243,14702
75243,Walmart Supercenter,Walmart Neighborhood Market,2243,15601
75243,Walmart Supercenter,Walmart Supercenter,1243,15283
75244,Walmart Supercenter,Walmart Marketplace,3244,14858
75244,Walmart Supercenter,Walmart Neighborhood Market,2244,15338
75244,Walmart Supercenter,Walmart Supercenter,1244,14657
75246,Walmart Supercenter,Walmart Marketplace,3246,15296
75246,Walmart Supercenter,Walmart Neighborhood Market,2246,15818
75246,Walmart Supercenter,Walmart Supercenter,1246,14460
75247,Walmart Supercenter,Walmart Marketplace,3247,15013
75247,Walmart Supercenter,Walmart Neighborhood Market,2247,15430
75247,Walmart Supercenter,Walmart Supercenter,1247,14978
75248,Walmart Supercenter,Walmart Marketplace,3248,14856
75248,Walmart Supercenter,Walmart Neighborhood Market,2248,14276
75248,Walmart Supercenter,Walmart Supercenter,1248,14763
75249,Walmart Supercenter,Walmart Marketplace,3249,15769
75249,Walmart Supercenter,Walmart Neighborhood Market,2249,15771
75249,Walmart Supercenter,Walmart Supercenter,1249,14873
75251,Walmart Supercenter,Walmart Marketplace,3251,15065
75251,Walmart Supercenter,Walmart Neighborhood Market,2251,15143
75251,Walmart Supercenter,Walmart Supercenter,1251,15246
75252,Walmart Supercenter,Walmart Marketplace,3252,15712
75252,Walmart Supercenter,Walmart Neighborhood Market,2252,14623
75252,Walmart Supercenter,Walmart Supercenter,1252,14750
75253,Walmart Supercenter,Walmart Marketplace,3253,14841
75253,Walmart Supercenter,Walmart Neighborhood Market,2253,14388
75253,Walmart Supercenter,Walmart Supercenter,1253,15330
75254,Walmart Supercenter,Walmart Marketplace,3254,15838
75254,Walmart Supercenter,Walmart Neighborhood Market,2254,15258
75254,Walmart Supercenter,Walmart Supercenter,1254,14466
75287,Walmart Supercenter,Walmart Marketplace,3287,15702
75287,Walmart Supercenter,Walmart Neighborhood Market,2287,15589
75287,Walmart Supercenter,Walmart Supercenter,1287,15922
